,Country:,2010 Total:,2011 Total:,2012 Total:,2013 Total:,2014 Total:,2015 Total:,2016 Total:,2017 Total:,2018 Total:,2019 Total:
150,SAU,56.55127,56.6517,58.60077,57.09528,52.95536,58.47575,55.75664,58.46789,58.30433,57.15638
151,SDN,22.00686,22.61182,22.60951,21.93584,21.39796,22.55149,22.41052,22.73444,21.88573,21.42613
152,SEN,36.73364,37.61465,38.97932,36.88208,37.6937,39.90025,38.67131,39.88987,39.07941,38.21284
153,SGP,16.89388,16.53947,15.20339,16.58208,16.62945,16.15997,15.48455,14.23202,13.12328,13.33302
154,SLB,7.41903,7.37153,7.42724,7.54031,7.61513,7.85858,7.75892,7.79642,7.94788,7.8289
155,SLE,36.32017,37.26171,41.09574,37.75351,40.53461,42.52948,40.62177,40.24941,39.46253,39.4217
156,SLV,26.92661,28.312,26.85603,28.60984,27.04093,27.18434,26.44211,24.93845,23.35659,22.15224
157,SMR,13.01652,13.43533,12.11762,11.72033,10.99926,11.41735,10.32921,10.55104,10.80798,9.84868
158,SOM,14.3522,14.47293,14.60625,14.26601,14.25288,14.22371,14.39752,14.49673,14.4512,14.27733
159,SRB,29.42471,30.67586,27.87856,26.16852,26.27462,25.33298,24.24702,24.95485,25.86499,21.73909
160,SSD,21.21051,21.82681,21.91677,21.54355,21.23758,22.0609,22.37394,21.63901,21.9397,20.18219
161,STP,31.73907,32.57917,33.15825,32.41367,32.11853,33.99913,34.44868,33.6171,33.8403,33.74991
162,SUR,11.35987,11.12067,11.85823,11.46335,12.23399,12.95795,12.90374,13.30251,12.7537,12.17056
163,SVK,21.69566,22.65742,20.27122,19.47218,19.52392,19.04978,17.98092,18.4938,19.07598,15.89146
164,SVN,19.68829,20.54985,18.73253,17.98375,17.91433,17.55293,16.73609,17.08411,17.77099,14.07638
165,SWE,7.51618,7.75897,6.90251,6.61276,6.2991,6.37266,5.87894,5.92993,6.09387,5.95539
166,SWZ,14.96722,14.71019,14.74831,14.89782,15.05071,14.82998,14.5759,14.77646,14.94766,15.07308
167,SYC,17.8967,16.78684,17.82111,18.27263,16.23041,16.50973,18.15396,16.36962,16.48274,16.95663
168,SYR,25.07604,24.6198,24.69551,24.45901,24.12911,24.75272,24.43168,24.82528,25.1301,25.14079
169,TCD,41.64312,42.20619,43.04271,40.62418,41.04188,44.4972,44.48747,44.35547,42.60818,41.15263
170,TGO,34.98097,35.81539,35.95685,34.79041,34.92123,38.24957,37.52358,37.25126,36.83061,35.65757
171,THA,26.36311,24.16447,25.65632,26.61528,23.6639,24.10254,26.42045,23.54318,23.68253,24.63927
172,TJK,63.40423,71.80428,71.50028,67.16655,63.46351,63.27915,62.72654,59.38627,58.57753,53.64558
173,TKM,31.48364,35.85101,35.59832,33.52481,31.92663,31.44058,31.22765,29.49465,29.17182,26.40925
174,TLS,20.7535,19.57411,20.7288,21.11583,19.27231,19.42989,21.20142,19.49366,19.65762,20.47387
175,TON,7.14405,7.05185,7.1031,7.09433,7.20356,7.25668,7.39788,7.38038,7.46988,7.52079
176,TTO,9.79285,9.44151,9.97297,9.79067,10.34355,10.94219,10.95355,11.27068,10.71643,10.26482
177,TUN,26.67751,25.54363,25.40391,25.75134,27.01053,26.13071,27.58332,26.13183,27.21906,26.52402
178,TUR,23.73719,23.27972,22.7553,23.0713,22.85719,22.95707,22.53114,22.88792,23.28703,23.25106
179,TUV,6.76436,6.94843,6.86974,6.81201,6.78081,6.94864,6.69649,6.84562,6.93967,6.80654
180,TZA,15.45167,15.32795,15.55412,15.36198,15.34867,15.59429,15.60301,15.19631,15.4112,15.36389
181,UGA,31.29329,31.4937,32.14039,31.79322,31.42753,31.65182,32.08328,31.27824,31.72916,31.31261
182,UKR,17.81272,16.5497,15.61071,15.98508,16.58483,14.66802,13.33379,12.93489,14.23927,13.50727
183,URY,9.18128,9.19783,9.034,9.72178,9.51708,9.90392,9.74647,9.27199,8.81777,8.47571
184,USA,9.28664,9.36109,9.07419,8.75496,8.62258,8.31036,7.54403,7.95602,8.13413,7.17987
185,UZB,48.51926,55.09954,54.87665,51.60295,48.70482,48.46156,48.09068,45.48117,44.62058,40.97948
186,VCT,8.85366,8.74973,9.23302,8.97443,9.55157,10.09276,10.05366,10.49894,9.94237,9.41283
187,VEN,20.66606,20.71004,19.87092,21.0044,19.83872,20.12396,19.64719,18.70915,17.06222,16.21392
188,VNM,22.36823,20.67487,21.67103,22.62388,20.07941,20.46553,22.37486,20.09941,20.09202,20.8923
189,VUT,8.08733,8.2336,8.19068,8.31014,8.35515,8.62408,8.6638,8.61743,8.80598,8.42148
190,WSM,7.40466,7.48468,7.55718,7.63588,7.55472,7.75524,7.61736,7.67308,7.77359,7.77989
191,YEM,38.82749,41.0284,42.48632,41.02003,38.27183,41.06106,39.90644,41.32087,41.6231,41.60944
192,ZAF,18.69321,18.66777,18.67658,18.81701,18.9779,19.13945,19.07406,19.37741,19.52362,19.74802
193,ZMB,17.08674,17.33064,17.55181,17.2438,17.29111,17.4341,17.31679,16.9852,16.98833,16.8967
194,ZWE,13.27519,13.26777,13.20859,13.09511,13.12364,13.26748,13.09256,13.15097,13.11527,13.07553
